0.12294,0.1714,0.016416,0.03062,0.001355,0.025003,0.29235,0.13234,-0.3344,0.1452,0.43204,0.39831,0.018076,0.030152,0.0050972,0.022053,-0.36538,1
0.064914,0.10244,0.0060954,0.022921,0.0031804,0.028899,0.14652,0.1012,-0.37876,0.08473,0.54983,0.50029,0.01438,0.023674,0.0020714,0.028078,0.057932,1
0.067395,0.092344,0.007187,0.01972,0.0032417,0.022357,0.14055,0.083425,-0.42383,0.084081,0.36473,0.32794,0.010834,0.020775,0.00468,0.019145,0.069325,1
0.045846,0.085922,0.0022944,0.033786,0.0078229,0.032674,0.083161,0.10938,-0.34873,0.078945,0.3411,0.29671,0.0024084,0.027033,0.013198,0.02752,-0.54935,1
0.26174,0.31825,0.0070579,0.02229,0.0057405,0.03402,0.60301,0.14703,-0.23512,0.26704,0.67665,0.59094,0.011873,0.025297,0.019341,0.035912,-0.72417,1
0.25282,0.21154,0.019175,0.031976,0.00024053,0.033436,0.25939,0.32344,-0.21787,0.24091,0.89984,0.44587,0.013127,0.04537,0.0077717,0.051001,-0.12512,1
0.1737,0.12638,0.015199,0.03109,0.014786,0.025632,0.08019,0.22137,-0.31205,0.17321,0.53199,0.31217,0.0074555,0.044295,0.012298,0.026151,1.0887,1
0.072861,0.15508,0.010361,0.031446,0.0080662,0.043138,0.1705,0.25616,-0.28699,0.11865,0.5197,0.42651,0.00029279,0.043714,0.0061458,0.043902,0.00054952,1
0.056861,0.14639,0.019939,0.031983,0.01342,0.03402,0.19633,0.21105,-0.41588,0.13164,0.24173,0.15961,0.003832,0.037616,0.0021185,0.024382,0.047945,1
0.10994,0.074468,0.02093,0.040232,0.00057039,0.033334,0.00086853,0.082258,-0.39361,0.14508,0.2237,0.19679,0.016875,0.027952,0.0019321,0.022214,0.0099446,1
0.08674,0.041673,0.008951,0.02098,0.0059391,0.033209,0.013517,0.037685,-0.42531,0.096186,0.23652,0.16325,0.010137,0.01884,0.0019653,0.014754,0.38282,1
0.047544,0.08447,0.0025638,0.02814,0.0048608,0.025637,0.095457,0.099395,-0.41844,0.07807,0.30057,0.33641,0.0078747,0.020343,0.012727,0.026792,-0.71761,1
0.29214,0.31012,0.0016459,0.02187,0.017573,0.03869,0.59738,0.11606,-0.23549,0.2875,0.46398,0.3849,0.001551,0.020655,0.022058,0.038627,-0.61305,1
